"№ п/п","Прізвище, ім'я та по-батькові депутата","Результатголосування"
2,Бабич Петро Іванович,Не голосував
4,Лемпіцький Валерій Анатолійович,Не голосував
6,Тоцька Тетяна Петрівна,Не голосував
8,Темченко Людмила Григорівна,Не голосував
10,Скотніков Юрій Анатолійович,Утримався
12,Крилова Тетяна Миколаївна,Утримався
14,Бойко Сергій Олександрович,Проти
16,Здоровець Олексій Михайлович,Не голосував
18,Коваленко Вікторія Миколаївна,Проти
20,Гредунов Євгеній Валерійович,За
22,"Черепейнік Леонід Володимирович",За
24,Опалько Володимир Григорович,За
26,Бельський Сергій Костянтинович,Не голосував
28,Тютюнник Андрій Анатолійович,Не голосував
30,Дудко Борис Володимирович,Не голосував
32,Дяченко Аліна Олексіївна,Відсутній
34,Берестовий Олег Ігорович,За
36,Саук Андрій Миколайович,Утримався
"","",""


